internal_id,source_db,source_query_id,source_query_label,doi,title,authors,year,abstract,venue,doc_type,keywords,url,volume,issue,pages,publisher,is_duplicate,duplicate_of,selected
cd8195f3,control,control_papers_bib,Control Papers Bib,10.1007/978-3-319-59536-8_30,Predictive Business Process Monitoring with LSTM Neural Networks,Niek Tax; Ilya Verenich; Marcello La Rosa; Marlon Dumas,2017,,"Advanced Information Systems Engineering: 29th International Conference, CAiSE 2017, Essen, Germany, June 12--16, 2017, Proceedings",conference paper,,,10253,,477--492,Springer,False,,
f7d71b3d,control,control_papers_bib,Control Papers Bib,10.1016/j.infsof.2023.107392,Process Mining Software Engineering Practices: A Case Study for Deployment Pipelines,Ana Filipa Nogueira; Mário Zenha-Rela,2024,,Information and Software Technology,article,,,168,,107392,,False,,
afd6db6f,control,control_papers_bib,Control Papers Bib,,Discovering Simulation Models,Anne Rozinat; Ronny S. Mans; Minseok Song; Wil M. P. van der Aalst,2007,,,techreport,,,,223,,,False,,
