internal_id,source_db,source_query_id,source_query_label,doi,title,authors,year,abstract,venue,doc_type,keywords,url,volume,issue,pages,publisher,is_duplicate,duplicate_of,selected
7161224e,ieee,ieee_manual_02,IEEE Manual 02,10.1109/IOTSMS53705.2021.9704921,Process Mining for Reliability Modeling of Manufacturing Systems with Limited Data Availability,"Friederich, Jonas; Lazarova-Molnar, Sanja",2021,"Accurate reliability modeling of manufacturing systems results in reduced maintenance costs and increased profits. The growing research field of data-driven reliability modeling seeks to harness the abundance of data from Smart Manufacturing Systems to improve and automate reliability modeling processes. Many manufacturing systems, however, still collect very limited amounts and types of data (typically operational state logs of production resources), which, we believe, can still be made useful to extract meaningful and useful reliability models. This motivates the work-in-progress that we present in this paper, a proof-of-concept method that extracts reliability models from state logs of production resources with deterministic durations of activities. First, the process model of a manufacturing system is extracted using a simple, yet efficient algorithm. Second, the reliability distributions for each production asset are fitted and useful reliability insights are integrated into the previously extracted process model. We conduct experiments of our proposed method using state logs from a drone manufacturing environment that is part of our university Industry 4.0 laboratory. The results show that a high-level overview of a system and its reliability can be provided with minimal data requirements and limited expert knowledge of the system. To this end, we also propose possible extensions and further developments of our method to make it more applicable to more challenging scenarios.","2021 8th International Conference on Internet of Things: Systems, Management and Security (IOTSMS)",conference paper,Petri nets; Production; Data models; Probability distribution; Topology; Reliability; Data mining; process mining; reliability modeling; smart manufacturing systems,,,,1-7,,False,,
b95ec0b1,ieee,ieee_manual_07,IEEE Manual 07,10.1109/66.806116,Impact of unrealistic worst case modeling on the performance of VLSI circuits in deep submicron CMOS technologies,"Nardi, A.; Neviani, A.; Zanoni, E.; Quarantelli, M.; Guardiani, C.",1999,"The impact of process fluctuations on the variability of deep submicron (DSM) very large scale integration (VLSI) circuit performances is investigated in this paper. In particular, we show that as process dimensions stale down in the subhalfmicron region, the relative weight of process variability tends to increase, thus wearing down a non negligible portion of the benefits that are expected from minimum feature size scaling. We still show that in order to better exploit the advance of process technology, it is essential to adopt a realistic approach to worst case modeling [assigned probability technique (APT)]. The application of the APT technique to different test circuits designed in 0.35, 0.25, and 0.18 /spl mu/m CMOS technologies with a power supply ranging from 3.3 V down to 1 V will demonstrate how the manufacturability of DSM designs is going to be a vital factor for the successful implementation of high-performance or low-power systems in 0.18 /spl mu/m and lesser technologies.",IEEE Transactions on Semiconductor Manufacturing,article,Computer aided software engineering; Semiconductor device modeling; Very large scale integration; CMOS technology; Fluctuations; Stochastic processes; CMOS process; Circuit testing; Power supplies; Fabrication,,12,4,396-402,,False,,
b402d592,snowball,snowball_both,snowball:both from 10.1145/1985793.1985807,10.1145/1835804.1835883,Mining program workflow from interleaved traces,Jian–Guang Lou; Qiang Fu; Shengqi Yang; Li Jiang; Bin Wu,2010,"Successful software maintenance is becoming increasingly critical due to the increasing dependence of our society and economy on software systems. One key problem of software maintenance is the difficulty in understanding the evolving software systems. Program workflows can help system operators and administrators to understand system behaviors and verify system executions so as to greatly facilitate system maintenance. In this paper, we propose an algorithm to automatically discover program workflows from event traces that record system events during system execution. Different from existing workflow mining algorithms, our approach can construct concurrent workflows from traces of interleaved events. Our workflow mining approach is a three-step coarse-to-fine algorithm. At first, we mine temporal dependencies for each pair of events. Then, based on the mined pair-wise tem-poral dependencies, we construct a basic workflow model by a breadth-first path pruning algorithm. After that, we refine the workflow by verifying it with all training event traces. The re-finement algorithm tries to find out a workflow that can interpret all event traces with minimal state transitions and threads. The results of both simulation data and real program data show that our algorithm is highly effective.",,article,Workflow; Computer science; Construct (python library); Pruning; Software; Event (particle physics); Workflow management system; Data mining; Software system; Software maintenance; Distributed computing; Software engineering; Programming language; Database,https://openalex.org/W2120416238,,,,,False,,
6e4114dc,wos,wos_principal,WoS Principal,10.1109/ISESE.2003.1237961,"Using empirical knowledge from, replicated experiments for software
process simulation:: A practical example","Münch, J; Armbrust, O",2003,"Empirical knowledge from software engineering studies is an important
source for the creation of accurate si. mulation models. This article
describes the development of a simulation model using empirical
knowledge gained from an experiment at the NASA/GSFC Software
Engineering Laboratory and from two replications at the University of
Kaiserslautern. Data and analysis results are used to identify influence
dependencies between parameters, and to calibrate models. The goal of
the model is the determination of the effects (i.e., defect detection
efficiency) of a requirements inspection process under varying contexts.
The purpose is to provide decision support for project managers and
process engineers when planning or changing development process. This
article describes the systematic model development with a focus on the
use of empirical knowledge. Additionally, limitations of the model,
lessons learned, and research questions for future work are sketched.
The model performed well in an initial validation run, with only little
deviation from experimental values.","2003 INTERNATIONAL SYMPOSIUM ON EMPIRICAL SOFTWARE ENGINEERING,
PROCEEDINGS",conference paper,,,,,18-27,,False,,
c5cba902,wos,wos_principal,WoS Principal,10.1145/3551349.3560426,Detecting Semantic Code Clones by Building AST-based Markov Chains Model,"Wu, Yueming; Feng, Siyue; Zou, Deqing; Jin, Hai",2022,"Code clone detection aims to find functionally similar code fragments,
which is becoming more and more important in the field of software
engineering. Many code clone detection methods have been proposed, among
which tree-based methods are able to handle semantic code clones.
However, these methods are difficult to scale to big code due to the
complexity of tree structures. In this paper, we design Amain, a
scalable tree-based semantic code clone detector by building Markov
chains models. Specifically, we propose a novel method to transform the
original complex tree into simple Markov chains and measure the distance
of all states in these chains. After obtaining all distance values, we
feed them into a machine learning classifier to train a code clone
detector. To examine the effectiveness of Amain, we evaluate it on two
widely used datasets namely Google Code Jam and BigCloneBench.
Experimental results show that Amain is superior to nine
state-of-the-art code clone detection tools (i.e., SourcererCC, RtvNN,
Deckard, ASTNN, TBCNN, CDLH, FCCA, DeepSim, and SCDetector).","PROCEEDINGS OF THE 37TH IEEE/ACM INTERNATIONAL CONFERENCE ON AUTOMATED
SOFTWARE ENGINEERING, ASE 2022",conference paper,,,,,,,False,,
4eb711b5,ieee,ieee_manual_10,IEEE Manual 10,10.1109/ICDSCA67083.2025.11350243,Research on Optimization Model of Supply Chain Robot Task Allocation Based on Genetic Algorithm and Software Practice,"Cao, Naiyuan; Guo, Yichen; Tang, Huijie; Li, Xinyang; Zhou, Zijie",2025,"In the context of Research on Optimization Model of Supply Chain Robot Task Allocation Based on Genetic Algorithm and Software Practice, aiming at solving the problems of premature convergence of genetic algorithm (GA) in the path planning involved in supply chain robot task allocation and the generation of a large number of infeasible paths due to crossover and mutation, this study improves the traditional genetic algorithm. Binary coding is adopted to store paths, providing a basis for subsequent genetic operations such as crossover and mutation, which is conducive to the efficient implementation of the supply chain robot task allocation optimization model in software practice. By combining with particle swarm optimization (PSO) for local search, the search speed of genetic algorithm is accelerated and the search efficiency is improved, which lays a good foundation for the rapid solving of the task allocation optimization model. Meanwhile, a repair mechanism is introduced to study all infeasible paths, determine the reasons for their infeasibility and carry out corrections, ensuring the feasibility of paths in the task allocation process. Simulation results show that in simple single - target scenarios of supply chain robot task allocation, the improved algorithm has a faster convergence speed and avoids local optimization; in multi - objective complex environments, it can obtain appropriate path solutions. This improved genetic algorithm provides strong algorithm support for the establishment and software implementation of the supply chain robot task allocation optimization model.",2025 IEEE 5th International Conference on Data Science and Computer Application (ICDSCA),conference paper,Optimization models; Supply chains; Software algorithms; Maintenance engineering; Path planning; Software; Resource management; Particle swarm optimization; Robots; Genetic algorithms; Genetic Algorithm; Task Allocation Optimization Model; Supply Chain Robot; Software Engineering,,,,577-585,,False,,
e8b038dd,springer,springer_3,process mining + software engineering,10.3103/S0146411617070306,Using Event Logs for Local Correction of Process Models,A. A. MitsyukI. A. LomazovaW. M. P. van der Aalst,2017,,Automatic Control and Computer Sciences,Article,,https://link.springer.com/article/10.3103/S0146411617070306,,,,,False,,
17fb91ea,ieee,ieee_manual_07,IEEE Manual 07,10.1109/TCAD.2024.3372461,ARA-RCIV: Identifying Reliability-Critical Input Vectors of Logic Circuits Based on the Association Rules Analysis Approach,"Shi, Zhanhui; Xiao, Jie; Jiang, Jianhui; Zhang, Ying; Zhou, Yuhao",2024,"The identification of reliability-critical input vectors (RCIVs) is vital in the assessment and prediction of reliability boundaries for logic circuits. This article introduces an approach grounded in association rule analysis (ARA) to swiftly and efficiently identify RCIVs in both combinational and sequential circuits. The utilization of the ARA model for validating the circuit’s associated primary inputs enhances accuracy while simultaneously reducing the complexity of RCIVs identification. Orienting the generation of new samples with associated inputs expedites the identification process. Quantifying circuit complexity enables the adaptive assignment of algorithmic parameters to circuits of diverse sizes. The construction of input sets facilitates a precise evaluation of the reliability of individual input vectors in sequential circuits. Experimental results on benchmark circuits illustrate that this approach achieves a mean accuracy of 0.9952, with Monte Carlo (MC) method serving as the reference, for small and medium-sized circuits, and require only 20.71% of MC’s time overhead. The average coverage of 0.9884 surpasses the reference method by 1.8 times. The stability is 4.35 times higher with the random method on large scale circuits with 224624 gates and 6,642 primary inputs. Circuit designers can swiftly ascertain the average reliability and reliability boundaries of a circuit by using this approach for RCIVs identification. By applying optimizations of the identified RCIVs to expedite convergence and mitigate fluctuations, the influence of these RCIVs can be minimized in reliability evaluation and testing.",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,article,Reliability; Integrated circuit reliability; Integrated circuit modeling; Logic gates; Probabilistic logic; Vectors; Reliability engineering; Association rule analysis (ARA); combinational circuits; input vectors (IVs) identification; reliability-critical IVs (RCIVs); sequential circuits,,43,8,2479-2492,,False,,
537acd6a,springer,springer_5,Monte Carlo + software process,10.1007/978-3-319-91734-4_24,Kahn Process Networks and a Reactive Extension,Marc GeilenTwan Basten,2019,,Handbook of Signal Processing Systems,Chapter,,https://link.springer.com/chapter/10.1007/978-3-319-91734-4_24,,,,,False,,
4a3ba436,snowball,snowball_both,snowball:both from 10.1093/rpd/ncw033,10.2967/jnumed.108.056036,MIRD Pamphlet No. 21: A Generalized Schema for Radiopharmaceutical Dosimetry—Standardization of Nomenclature,Wesley E. Bolch; Keith F. Eckerman; George Sgouros; Stephen R. Thomas,2009,"The internal dosimetry schema of the Medical Internal Radiation Dose (MIRD) Committee of the Society of Nuclear Medicine has provided a broad framework for assessment of the absorbed dose to whole organs, tissue subregions, voxelized tissue structures, and individual cellular compartments for use in both diagnostic and therapeutic nuclear medicine. The schema was originally published in 1968, revised in 1976, and republished in didactic form with comprehensive examples as the MIRD primer in 1988 and 1991. The International Commission on Radiological Protection (ICRP) is an organization that also supplies dosimetric models and technical data, for use in providing recommendations for limits on ionizing radiation exposure to workers and members of the general public. The ICRP has developed a dosimetry schema similar to that of the MIRD Committee but has used different terminology and symbols for fundamental quantities such as the absorbed fraction, specific absorbed fraction, and various dose coefficients. The MIRD Committee objectives for this pamphlet are 3-fold: to restate its schema for assessment of absorbed dose in a manner consistent with the needs of both the nuclear medicine and the radiation protection communities, with the goal of standardizing nomenclature; to formally adopt the dosimetry quantities equivalent dose and effective dose for use in comparative evaluations of potential risks of radiation-induced stochastic effects to patients after nuclear medicine procedures; and to discuss the need to identify dosimetry quantities based on absorbed dose that address deterministic effects relevant to targeted radionuclide therapy.",Journal of Nuclear Medicine,article,Dosimetry; Absorbed dose; Nuclear medicine; Medical physics; Medicine; Standardization; Ionizing radiation; Internal dosimetry; Radiation protection; Effective dose (radiation); Computer science; Physics; Nuclear physics,https://openalex.org/W2032747682,,,,,False,,
c2f3e2a3,springer,springer_2,process mining + software process,10.1007/978-3-319-63962-8_100-1,Business Process Deviance Mining,Francesco FolinoLuigi Pontieri,2018,,Encyclopedia of Big Data Technologies,Living reference work entry,,https://link.springer.com/rwe/10.1007/978-3-319-63962-8_100-1,,,,,False,,
055f22f4,springer,springer_1,process mining + software development,10.1007/s13198-022-01823-x,Blockchain technology and software engineering practices: a systematic review of literature using topic modelling approach,Priti JagwaniV. B. SinghNoopur AgrawalAditya P. Tripathi,2023,,International Journal of System Assurance Engineering and Management,Article,,https://link.springer.com/article/10.1007/s13198-022-01823-x,,,,,False,,
0b80469e,springer,springer_10,workflow mining + software,10.1007/978-3-642-22203-0_49,A Review of Prominent Work on Agile Processes Software Process Improvement and Process Tailoring Practices,Rehan AkbarMohd Fadzil HassanAzrai Abdullah,2011,,Software Engineering and Computer Systems,Conference paper,,https://link.springer.com/chapter/10.1007/978-3-642-22203-0_49,,,,,False,,
a26385f8,springer,springer_1,process mining + software development,10.1007/978-3-319-64161-4_13,"Non-distracting, Continuous Collection of Software Development Process Data",Andrea Janes,2018,,Synergies Between Knowledge Engineering and Software Engineering,Chapter,,https://link.springer.com/chapter/10.1007/978-3-319-64161-4_13,,,,,False,,
df095a82,springer,springer_3,process mining + software engineering,10.1007/978-3-319-27243-6_2,Finding Suitable Activity Clusters for Decomposed Process Discovery,B. F. A. HompesH. M. W. VerbeekW. M. P. van der Aalst,2015,,Data-Driven Process Discovery and Analysis,Conference paper,,https://link.springer.com/chapter/10.1007/978-3-319-27243-6_2,,,,,False,,
9891be3f,springer,springer_10,workflow mining + software,10.1007/s10515-006-7740-x,Automated user interface engineering with a pattern reflecting programming language,Anthony SavidisConstantine Stephanidis,2006,,Automated Software Engineering,Article,,https://link.springer.com/article/10.1007/s10515-006-7740-x,,,,,False,,
2c9cc853,snowball,snowball_both,snowball:both from 10.1109/wd.2016.7461492,10.1109/dyspan.2007.65,MAC Protocol Design for Spectrum-agile Wireless Networks: Stochastic Control Approach,Ali Motamedi; Ahmad Bahai,2007,"Widespread deployment of wireless networks under different services including wireless LANs and sensor networks in a shared spectrum has caused many interference and performance issues in dense networks. Specifically, such coexistence poses significant challenges on media access protocol design. This paper addresses this problem by proposing a distributed spectrum-agile MAC (media access control) protocol. It is a multichannel CSMA-based protocol equipped with a dynamic channel selection algorithm. The dynamic channel selection problem is formulated as a multi-armed bandit problem, and the optimal channel selection rules are derived. Finally the advantage of the new protocol is demonstrated through simulation.",,article,Computer science; Computer network; Protocol (science); Channel (broadcasting); Access control; Wireless network; Media access control; Agile software development; Distributed computing; Wireless; Interference (communication); Wireless sensor network; Channel access method; Telecommunications,https://openalex.org/W2133519472,,,,,False,,
a46e9b0b,wos,wos_principal,WoS Principal,10.1007/s00767-024-00566-9,"OpenWorkFlow-Development of an open-source synthesis-platform for safety
investigations in the site selection process","Lehmann, Christoph; Bilke, Lars; Buchwald, Joerg; Graebling,
Nico; Grunwald, Norbert; Heinze, Julian; Meisel, Tobias; Lu,
Renchao; Naumov, Dmitri; Rink, Karsten; Sen, Ozan Oezguer; Selzer, Philipp; Shao, Haibing; Wang, Wenqing; Zill, Florian; Nagel, Thomas; Kolditz, Olaf",2024,"The identification of appropriate locations for secure nuclear waste
disposal, a crucial aspect of Germany's nuclear phase-out strategy
(StandAG 2017), remains a significant scientific, technical, and
political challenge worldwide. The selection and safety assessment of
sites demand extensive applications of numerical methods. The
OpenWorkFlow project, initiated by Bundesgesellschaft fur Endlagerung
(BGE), develops a new, open synthesis platform to virtualise repository
systems. The simulation platform will evaluate far-field and near-field
processes, supporting the site selection process first and the
geotechnical design of repository systems later on. The project's
development philosophy adheres to the principles of continuity and
innovation. Through continuous scientific development, the OpenWorkFlow
platform will remain at the forefront of science and technology.
Furthermore, as a digital platform, OpenWorkFlow employs up-to-date IT
methods and constantly evolving software concepts. As its name suggests,
OpenWorkFlow (OWF) is an open platform, developed on the basis of FAIR
principles as an open-source project, inviting community
participation.This paper primarily focuses on the technical aspects of
OWF, with only a brief discussion of conceptual principles and modelling
methods. In the second part of the manuscript, demonstration examples
from different scales are presented to illustrate the current technical
status of OWF and to emphasize the requirement for further development.
Die Suche nach geeigneten Standorten fur die sichere Endlagerung
radioaktiver Abfalle, ein wichtiges Element des in Deutschland
beschlossenen Ausstiegs aus der Atomenergie (StandAG 2017), ist eine
grosse wissenschaftliche, technische und politische Herausforderung, an
der weltweit intensiv gearbeitet wird. Dabei werden auch numerische
Modelle fur Sicherheitsuntersuchungen zur Standortauswahl eine wichtige
Rolle spielen. Mit dem OpenWorkFlow-Projekt, das von der
Bundesgesellschaft fur Endlagerung (BGE) initiiert wurde, entsteht eine
neuartige, offene Synthese-Plattform fur die Virtualisierung von
Endlagersystemen. Die Simulations-Plattform soll dabei sowohl fur die
Bewertung von Fern- als auch Nahfeldprozessen zur Unterstutzung des
Standortauswahlverfahrens und spater fur die geotechnische Auslegung von
Endlagersystemen eingesetzt werden. Kontinuitat und Innovation sind zwei
Grundprinzipien der Entwicklungsphilosophie. Durch die kontinuierliche
wissenschaftliche Weiterentwicklung wird die Plattform stets auf dem
aktuellen Stand von Wissenschaft und Technik sein und diesen
mitbestimmen. Daruber hinaus wird OpenWorkFlow als digitale Plattform
mit den neuesten IT-Methoden entwickelt und das Software-Konzept
kontinuierlich angepasst. Der Name ist Programm, OpenWorkFlow (OWF) ist
eine offene Plattform, sie wird auf der Basis der FAIR-Prinzipen1 als
Open-Source-Projekt entwickelt und ladt die Community zur Mitwirkung
ein.Die vorliegende Arbeit hat einen technischen Fokus. Konzeptionelle
Grundlagen und Methoden der Modellierung werden nur kurz angerissen. Im
zweiten Teil des Manuskripts werden Demonstrationsbeispiele fur
verschiedene Skalen vorgestellt, die den technischen Stand von OWF
zeigen sollen und den weiteren Entwicklungsbedarf aufzeigen.",GRUNDWASSER,article,,,29,1,31-47,,False,,
4bdad231,springer,springer_1,process mining + software development,10.1007/s10270-024-01203-y,"Supporting method engineering with a low-code approach: the <Emphasis FontCategory=""NonProportional"">LOMET</Emphasis>&#xa0; tool",Raquel Araújo de OliveiraMario Cortes-CornaxAgnès Front,2024,,Software and Systems Modeling,Article,,https://link.springer.com/article/10.1007/s10270-024-01203-y,,,,,False,,
